picture,picture_link,currency,price,rooms,surface,floor,type,method,city,country,latitude,longitude
https://img3.imonet.ro/X8ST/8ST00GUEL60/apartament-de-vanzare-3-camere-bucuresti-metalurgiei-71913710_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/metalurgiei/apartament-de-vanzare-3-camere-X8ST0000E?lista=2349706,EUR,66000,3,75,-1,apartament,buy,Bucuresti,Romania,44.47241234,26.17129522
https://img3.imonet.ro/XV0A/V0A00GPHIJE/apartament-de-vanzare-3-camere-bucuresti-bucurestii-noi-70216872_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/bucurestii-noi/apartament-de-vanzare-3-camere-XV0A0083R?lista=2349706,EUR,96450,3,109,-1,apartament,buy,Bucuresti,Romania,44.48964833,26.1584028
https://img3.imonet.ro/X2F7/2F71000AH5K/apartament-de-vanzare-5-camere-bucuresti-aviatorilor-76508010_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/aviatorilor/apartament-de-vanzare-5-camere-X2F710061?lista=2349706,EUR,440000,5,254,-1,apartament,buy,Bucuresti,Romania,44.41367439,25.99223767
https://img3.imonet.ro/X80T/80T00H0GIVQ/apartament-de-vanzare-2-camere-bucuresti-vacaresti-73958690_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/vacaresti/apartament-de-vanzare-2-camere-X80T0002G?lista=2349706,EUR,76500,2,53,-1,apartament,buy,Bucuresti,Romania,44.39911978,26.15412515
https://img3.imonet.ro/X8DU/8DU00GJ2S01/apartament-de-vanzare-3-camere-bucuresti-drumul-taberei-67424310_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/drumul-taberei/apartament-de-vanzare-3-camere-X8DU00010?lista=2349706,EUR,62500,3,113,-1,apartament,buy,Bucuresti,Romania,44.5058547,26.06378261
https://img3.imonet.ro/X80V/80V00H51TLF/apartament-de-vanzare-3-camere-bucuresti-nerva-traian-76433430_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/nerva-traian/apartament-de-vanzare-3-camere-X80V00020?lista=2349706,EUR + VAT,119000,3,90,-1,apartament,buy,Bucuresti,Romania,44.44992827,26.0239229
https://img3.imonet.ro/X92O/92O00H206VP/apartament-de-vanzare-2-camere-bucuresti-splaiul-unirii-73759934_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/splaiul-unirii/apartament-de-vanzare-2-camere-X92O0006I?lista=2349706,EUR,68460,2,49,-1,apartament,buy,Bucuresti,Romania,44.34950885,26.08552042
https://img3.imonet.ro/X92O/92O00H1J4N3/apartament-de-vanzare-2-camere-bucuresti-mihai-bravu-73445756_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/mihai-bravu/apartament-de-vanzare-2-camere-X92O00034?lista=2349706,EUR + VAT,69500,2,52,-1,apartament,buy,Bucuresti,Romania,44.46206841,26.01742881
https://img3.imonet.ro/X2F7/2F71000AH6Q/apartament-de-vanzare-4-camere-bucuresti-capitale-76509168_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/capitale/apartament-de-vanzare-4-camere-X2F71002F?lista=2349706,EUR,800000,4,244.32,1,apartament,buy,Bucuresti,Romania,44.46878928,26.09880602
https://img3.imonet.ro/X94H/94H100000BG/apartament-de-vanzare-4-camere-bucuresti-p-ta-victoriei-76496244_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/p-ta-victoriei/apartament-de-vanzare-4-camere-X94H1001T?lista=2349706,EUR + VAT,198210,4,84,1,apartament,buy,Bucuresti,Romania,44.45926474,26.10157873
